"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Theophylline|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Theophylline|Concentration in container [µmol/l]","Organism|Lumen|Theophylline|Fraction of oral drug mass absorbed into mucosa"
0,2310,1.586907,1.550531,0
0,2325,1.552132,1.516553,0
0,2340,1.51812,1.483321,0
0,2355,1.484853,1.450816,0
0,2370,1.452314,1.419024,0
0,2385,1.420489,1.387928,0
0,2400,1.389362,1.357514,0
0,2415,1.358916,1.327766,0
0,2430,1.329138,1.298671,0
0,2445,1.300012,1.270212,0
0,2460,1.271524,1.242378,0
0,2475,1.243661,1.215153,0
0,2490,1.216408,1.188525,0
0,2505,1.189752,1.16248,0
0,2520,1.163681,1.137006,0
0,2535,1.138181,1.112091,0
0,2550,1.113239,1.087721,0
0,2565,1.088844,1.063885,0
0,2580,1.064984,1.040572,0
0,2595,1.041647,1.01777,0
0,2610,1.018821,0.9954669,0
0,2625,0.996495,0.9736529,0
0,2640,0.9746584,0.9523169,0
0,2655,0.9533004,0.9314484,0
0,2670,0.9324104,0.9110373,0
0,2685,0.9119781,0.8910733,0
0,2700,0.8919936,0.8715469,0
0,2715,0.8724471,0.8524484,0
0,2730,0.8533288,0.8337684,0
0,2745,0.8346295,0.8154977,0
0,2760,0.81634,0.7976274,0
0,2775,0.7984512,0.7801487,0
0,2790,0.7809544,0.7630531,0
0,2805,0.7638411,0.746332,0
0,2820,0.7471027,0.7299773,0
0,2835,0.7307312,0.7139811,0
0,2850,0.7147185,0.6983353,0
0,2865,0.6990566,0.6830325,0
0,2880,0.6837379,0.6680649,0
