"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Theophylline|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Theophylline|Concentration in container [µmol/l]","Organism|Lumen|Theophylline|Fraction of oral drug mass absorbed into mucosa"
0,2310,3.479605,3.399843,0
0,2325,3.403355,3.325341,0
0,2340,3.328775,3.252471,0
0,2355,3.255831,3.181199,0
0,2370,3.184484,3.111488,0
0,2385,3.114701,3.043304,0
0,2400,3.046448,2.976615,0
0,2415,2.979689,2.911387,0
0,2430,2.914394,2.847589,0
0,2445,2.85053,2.785189,0
0,2460,2.788065,2.724156,0
0,2475,2.726969,2.66446,0
0,2490,2.667212,2.606073,0
0,2505,2.608764,2.548965,0
0,2520,2.551597,2.493109,0
0,2535,2.495683,2.438476,0
0,2550,2.440995,2.385041,0
0,2565,2.387504,2.332776,0
0,2580,2.335186,2.281657,0
0,2595,2.284014,2.231658,0
0,2610,2.233963,2.182755,0
0,2625,2.18501,2.134924,0
0,2640,2.137129,2.08814,0
0,2655,2.090297,2.042382,0
0,2670,2.044492,1.997627,0
0,2685,1.99969,1.953852,0
0,2700,1.95587,1.911036,0
0,2715,1.91301,1.869159,0
0,2730,1.87109,1.8282,0
0,2745,1.830088,1.788138,0
0,2760,1.789984,1.748953,0
0,2775,1.75076,1.710628,0
0,2790,1.712395,1.673142,0
0,2805,1.67487,1.636478,0
0,2820,1.638168,1.600617,0
0,2835,1.60227,1.565543,0
0,2850,1.567159,1.531236,0
0,2865,1.532818,1.497682,0
0,2880,1.499228,1.464862,0
