"Time  [h]","Conc  [mg/l]"
0.205244,4.97123
0.584717,10.3804
0.979306,9.65631
1.66176,9.29389
3.02314,8.05476
6.03599,6.26201
12.0127,3.85748
17.9386,2.36726
24.0971,1.50544
35.7915,0.563201
48.0035,0.172948
